month,precip,basin,pet,hb,spei_1,spei_3,spei_6,spei_12
1992-07-01,83.14755395054817,Mallorquin,138.81538461538463,-55.66783066483646,0.39790452810366284,0.11166458456768545,0.07581929606073834,-1.1343787139168637
1992-08-01,87.06564974784851,Mallorquin,143.84615384615384,-56.78050409830533,-0.013925136118097767,0.007609957044103215,0.007142865608972711,-0.958173732020011
1992-09-01,100.80129063129424,Mallorquin,132.60000000000002,-31.798709368705786,-0.49649749293843054,-0.061763566650777646,-0.09781830371683381,-0.9262636969910595
1992-10-01,105.01919460296632,Mallorquin,124.15384615384616,-19.134651550879838,-1.114758509653641,-0.77455457512059,-0.4043234628785365,-0.8648993692491496
1992-11-01,67.06754386425018,Mallorquin,123.19230769230772,-56.12476382805754,-0.603017898618471,-1.125761861259362,-0.5658232412927516,-0.5197080370731163
1992-12-01,10.28378313779831,Mallorquin,134.57692307692307,-124.29313993912476,-0.14279010515723745,-1.114880669022118,-0.6069040658948793,-0.48073197352925834
1993-01-01,7.37805499881506,Mallorquin,125.7692307692308,-118.39117577041574,1.963823823622033,-0.3268831142623013,-0.6713527861248335,-0.4137434108305009
1993-02-01,0.6778164505958557,Mallorquin,140.9692307692308,-140.29141431863493,0.4648117507541418,0.516953292531065,-0.8210359269738683,-0.42845164936831986
1993-03-01,7.592612460255623,Mallorquin,149.23846153846154,-141.6458490782059,1.5270259280569063,1.7428406171307356,-0.6180733463023831,-0.34008309576819123
1993-04-01,37.171517729759216,Mallorquin,135.53846153846155,-98.36694380870233,1.054222258501846,1.3797219746545248,0.22236094264527898,-0.2354002166468871
1993-05-01,209.2483480721712,Mallorquin,124.06153846153846,85.18680961063275,2.2303567578525048,2.074803366180149,1.8621799295941877,0.20753381509567395
1993-06-01,69.57419830560684,Mallorquin,140.27692307692308,-70.70272477131624,-0.5713069923311258,1.1880678234119952,1.4892115577411709,0.09248880480102503
1993-07-01,66.05083349347115,Mallorquin,152.33846153846153,-86.28762804499038,-0.24574369875477303,0.6638841641721989,0.9161526499361586,-0.05786624827831065
1993-08-01,58.06865528970957,Mallorquin,152.2923076923077,-94.22365240259813,-0.8178957049731668,-0.6805078025752042,0.4689007928676053,-0.23454414049764624
1993-09-01,158.06238360516727,Mallorquin,130.7769230769231,27.28546052824416,0.7860744604804296,-0.1358834626030836,0.4945772787959194,0.006272756935680562
1993-10-01,70.7384503185749,Mallorquin,129.87692307692308,-59.13847275834817,-1.8221871913340781,-0.9316422154678641,-0.17438179922231756,-0.17359976087468715
1993-11-01,97.02537670731544,Mallorquin,121.97692307692309,-24.95154636960764,-0.026981583945156904,-0.5629461380034316,-0.7031396945990438,0.07549188586184705
1993-12-01,5.4804603308439255,Mallorquin,134.04615384615383,-128.5656935153099,-0.3403927039952103,-1.2912608969578239,-0.7246962290942058,0.03246006714956954
